,x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain
6520,322,1,41,466,3,0,0,0,2.0,392,0,0,0,0.0,,5,3,2,0,-2,0,0.0,0,0.0,-2.0,5.97126183979046,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0.5,0.6
6521,322,1,42,466,4,0,0,0,2.0,329,0,0,0,0.0,,5,2,2,0,0,0,0.0,0,0.0,-2.0,5.79605775076537,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0.5,0.6
6522,322,1,43,466,5,0,0,0,2.0,576,0,0,0,0.0,,5,1,2,0,0,0,0.0,0,0.0,-2.0,6.35610766069589,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0.5,0.6
6523,322,1,44,391,1,2,2,2,25.0,831,1,2,0,0.6,,5,5,2,0,0,1,0.0272,0,-0.4,-0.8,6.72262979485545,0,0,0,0,0,0,0,0,0,0,0,2,0,1.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,1,0.6,-0.8,0.6,0,0,0.4,0.6
6524,322,1,45,391,2,2,1,2,2.0,1261,0,1,0,0.4,,5,4,2,0,0,0,-0.009,0,-0.6,-1.2,7.13966033596492,0,0,0,0,0,0,0,0,0,0,0,2,0,0.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,1,0.4,-1.2,0.4,0,0,0.4,0.6
6525,322,1,46,391,3,1,2,2,25.0,566,1,1,0,0.6,,5,3,2,0,-1,1,0.15,1,0.6,-0.8,6.33859407820318,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6,-0.4,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0,0,0.4,0.6
6526,322,1,47,391,4,1,1,1,2.0,1178,1,0,0,0.4,,5,2,2,0,0,1,0.2,1,0.4,-1.2,7.07157336421153,0,0,0,0,0,0,0,0,0,0,1,1,0,0.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0,0,0.4,0.6
6527,322,1,48,391,5,0,0,0,25.0,505,0,0,0,0.0,,5,1,2,0,-1,0,0.0,0,0.0,-2.0,6.22455842927536,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0.4,0.6
6528,322,2,1,377,1,2,1,2,2.0,1041,0,1,0,0.4,,3,3,2,0,0,0,-0.15,0,-0.6,-1.2,6.94793706861497,0,0,0,0,0,0,0,0,0,0,0,2,0,0.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,1,0.4,-1.2,0.4,0,1,0.4,0.5
6529,322,2,2,377,2,1,1,1,2.0,1076,1,1,0,0.4,,3,2,2,0,-1,1,0.18,1,0.4,-1.2,6.98100574072173,0,0,0,0,0,0,0,0,0,0,1,1,0,0.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,0,1,0.4,0.5
