x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_index_forests,x14_current_gain_magnitude,xempty,xempty,x17_weather_1_gain_magnitude,x18_weather_2_gain_magnitude,x19_weather_1_p_gain,x20_weather_2_p_gain,x21_dono,x22_dono,x23_dono,x24_dono,x25_dono,x26_dono,x27_expected_energy_no_bounds,x28_expected_energy_w_boundaries,x29_dono,x30_dono,x31_dono
101.0,1.0,44.0,1111.0,4.0,3.0,1.0,1.0,98.0,1495.0,0.0,2.0,1111.0,3.0,0.0,0.0,0.0,0.0,0.4,0.9,2.0,6.0,0.5010749999999999,0.61524375,0.3869062499999999,-1.2,-0.19999999999999996,-0.7,1.0,9.0,1111.0
101.0,1.0,45.0,1111.0,5.0,2.0,2.0,2.0,98.0,1208.0,1.0,2.0,1111.0,3.0,0.0,0.0,0.0,0.0,0.4,0.9,2.0,6.0,0.5010749999999999,0.61524375,0.3869062499999999,-1.2,-0.19999999999999996,-0.7,1.0,9.0,1111.0
101.0,1.0,46.0,1154.0,1.0,3.0,2.0,1.0,97.0,944.0,1.0,5.0,1154.0,3.0,0.0,0.0,3.0,4.0,0.5,0.6,4.0,4.0,0.33665625,0.3515625,0.32175,0.5,1.5999999999999999,1.0499999999999998,1.0,10.0,1154.0
101.0,1.0,47.0,1154.0,2.0,5.0,2.0,2.0,98.0,1997.0,1.0,3.0,1154.0,3.0,0.0,0.0,3.0,4.0,0.5,0.6,4.0,4.0,0.33665625,0.3515625,0.32175,0.5,1.5999999999999999,1.0499999999999998,1.0,10.0,1154.0
101.0,1.0,48.0,1154.0,3.0,3.0,1.0,1.0,98.0,1170.0,0.0,2.0,1154.0,3.0,0.0,0.0,3.0,4.0,0.5,0.6,4.0,4.0,0.33665625,0.3515625,0.32175,0.5,1.5999999999999999,1.0499999999999998,1.0,10.0,1154.0
101.0,1.0,49.0,1154.0,4.0,2.0,2.0,1.0,98.0,1644.0,0.0,1.0,1154.0,3.0,0.0,0.0,3.0,4.0,0.5,0.6,4.0,4.0,0.33665625,0.3515625,0.32175,0.5,1.5999999999999999,1.0499999999999998,1.0,10.0,1154.0
101.0,1.0,50.0,1154.0,5.0,1.0,2.0,1.0,97.0,999.0,1.0,5.0,1154.0,3.0,0.0,0.0,3.0,4.0,0.5,0.6,4.0,4.0,0.33665625,0.3515625,0.32175,0.5,1.5999999999999999,1.0499999999999998,1.0,10.0,1154.0
101.0,1.0,51.0,1897.0,1.0,4.0,1.0,2.0,97.0,1412.0,0.0,3.0,1897.0,4.0,0.0,0.0,1.0,2.0,0.6,0.7,2.0,6.0,0.23143468750000004,0.2621375000000001,0.20073187500000006,-0.20000000000000007,0.7999999999999998,0.2999999999999999,3.0,11.0,1897.0
101.0,1.0,52.0,1897.0,2.0,3.0,2.0,1.0,97.0,1262.0,1.0,5.0,1897.0,4.0,0.0,0.0,1.0,2.0,0.6,0.7,2.0,6.0,0.23143468750000004,0.2621375000000001,0.20073187500000006,-0.20000000000000007,0.7999999999999998,0.2999999999999999,3.0,11.0,1897.0
101.0,1.0,53.0,1897.0,3.0,5.0,1.0,2.0,97.0,1701.0,0.0,4.0,1897.0,4.0,0.0,0.0,1.0,2.0,0.6,0.7,2.0,6.0,0.23143468750000004,0.2621375000000001,0.20073187500000006,-0.20000000000000007,0.7999999999999998,0.2999999999999999,3.0,11.0,1897.0
101.0,1.0,54.0,1897.0,4.0,4.0,2.0,2.0,97.0,1836.0,0.0,3.0,1897.0,4.0,0.0,0.0,1.0,2.0,0.6,0.7,2.0,6.0,0.23143468750000004,0.2621375000000001,0.20073187500000006,-0.20000000000000007,0.7999999999999998,0.2999999999999999,3.0,11.0,1897.0
101.0,1.0,55.0,1897.0,5.0,3.0,2.0,2.0,98.0,1036.0,1.0,5.0,1897.0,4.0,0.0,0.0,1.0,2.0,0.6,0.7,2.0,6.0,0.23143468750000004,0.2621375000000001,0.20073187500000006,-0.20000000000000007,0.7999999999999998,0.2999999999999999,3.0,11.0,1897.0
101.0,1.0,56.0,780.0,1.0,3.0,1.0,1.0,98.0,997.0,0.0,2.0,780.0,3.0,0.0,0.0,4.0,4.0,0.1,0.7,2.0,6.0,0.37065750000000003,0.46260000000000007,0.27871500000000005,-1.4,2.1999999999999997,0.3999999999999999,1.0,12.0,780.0
101.0,1.0,57.0,780.0,2.0,2.0,2.0,2.0,98.0,873.0,1.0,5.0,780.0,3.0,0.0,0.0,4.0,4.0,0.1,0.7,2.0,6.0,0.37065750000000003,0.46260000000000007,0.27871500000000005,-1.4,2.1999999999999997,0.3999999999999999,1.0,12.0,780.0
101.0,1.0,58.0,780.0,3.0,5.0,1.0,1.0,98.0,1112.0,0.0,4.0,780.0,3.0,0.0,0.0,4.0,4.0,0.1,0.7,2.0,6.0,0.37065750000000003,0.46260000000000007,0.27871500000000005,-1.4,2.1999999999999997,0.3999999999999999,1.0,12.0,780.0
101.0,1.0,59.0,780.0,4.0,4.0,2.0,2.0,98.0,1067.0,1.0,2.0,780.0,3.0,0.0,0.0,4.0,4.0,0.1,0.7,2.0,6.0,0.37065750000000003,0.46260000000000007,0.27871500000000005,-1.4,2.1999999999999997,0.3999999999999999,1.0,12.0,780.0
101.0,1.0,60.0,780.0,5.0,2.0,2.0,2.0,97.0,1798.0,0.0,1.0,780.0,3.0,0.0,0.0,4.0,4.0,0.1,0.7,2.0,6.0,0.37065750000000003,0.46260000000000007,0.27871500000000005,-1.4,2.1999999999999997,0.3999999999999999,1.0,12.0,780.0
101.0,1.0,61.0,1541.0,1.0,4.0,2.0,1.0,98.0,1254.0,0.0,3.0,1541.0,4.0,0.0,0.0,2.0,3.0,0.2,0.5,2.0,4.0,0.45718749999999997,0.45718749999999997,0.45718749999999997,-1.2000000000000002,0.5,-0.3500000000000001,1.0,13.0,1541.0
101.0,1.0,62.0,1541.0,2.0,3.0,2.0,2.0,98.0,1035.0,1.0,1.0,1541.0,4.0,0.0,0.0,2.0,3.0,0.2,0.5,2.0,4.0,0.45718749999999997,0.45718749999999997,0.45718749999999997,-1.2000000000000002,0.5,-0.3500000000000001,1.0,13.0,1541.0
101.0,1.0,63.0,1541.0,3.0,1.0,2.0,1.0,97.0,1377.0,1.0,0.0,1541.0,4.0,0.0,0.0,2.0,3.0,0.2,0.5,2.0,4.0,0.45718749999999997,0.45718749999999997,0.45718749999999997,-1.2000000000000002,0.5,-0.3500000000000001,1.0,13.0,1541.0
101.0,1.0,64.0,1541.0,4.0,0.0,0.0,0.0,98.0,686.0,0.0,0.0,1541.0,4.0,0.0,0.0,2.0,3.0,0.2,0.5,2.0,4.0,0.45718749999999997,0.45718749999999997,0.45718749999999997,-1.2000000000000002,0.5,-0.3500000000000001,1.0,13.0,1541.0
101.0,1.0,65.0,1541.0,5.0,0.0,0.0,0.0,98.0,375.0,0.0,0.0,1541.0,4.0,0.0,0.0,2.0,3.0,0.2,0.5,2.0,4.0,0.45718749999999997,0.45718749999999997,0.45718749999999997,-1.2000000000000002,0.5,-0.3500000000000001,1.0,13.0,1541.0
101.0,1.0,66.0,1103.0,1.0,3.0,2.0,2.0,98.0,709.0,1.0,5.0,1103.0,3.0,0.0,0.0,1.0,3.0,0.4,0.8,2.0,6.0,0.2429199999999999,0.3375999999999999,0.14823999999999996,-0.7999999999999999,2.0000000000000004,0.6000000000000003,1.0,14.0,1103.0
